tournament,court,surface,round_imp,best_of,player0,player1,rank0,rank1,winner
"Sydney International",Outdoor,Hard,6,3,"Hewitt L.","Clavet F.",21,39,0
"Sydney International",Outdoor,Hard,6,3,"Kucera K.","Clement A.",17,55,0
"Sydney International",Outdoor,Hard,6,3,"Lapentti N.","Koubek S.",7,40,0
"Sydney International",Outdoor,Hard,6,3,"Ljubicic I.","Martin T.",79,8,0
"Sydney International",Outdoor,Hard,6,3,"Stoltenberg J.","Hrbaty D.",94,23,0
"Sydney International",Outdoor,Hard,6,3,"Voinea A.","Vacek D.",102,41,0
"Sydney International",Outdoor,Hard,3,3,"Corretja A.","Dosedel S.",28,69,0
"Sydney International",Outdoor,Hard,3,3,"Hewitt L.","Voinea A.",21,102,0
"Sydney International",Outdoor,Hard,3,3,"Ljubicic I.","Kucera K.",79,17,0
"Sydney International",Outdoor,Hard,3,3,"Stoltenberg J.","Lapentti N.",94,7,0
"Sydney International",Outdoor,Hard,2,3,"Hewitt L.","Corretja A.",21,28,0
"Sydney International",Outdoor,Hard,2,3,"Stoltenberg J.","Ljubicic I.",94,79,0
"Sydney International",Outdoor,Hard,1,3,"Hewitt L.","Stoltenberg J.",21,94,0
"Australian Open",Outdoor,Hard,7,5,"Agassi A.","Puerta M.",1,112,0
"Australian Open",Outdoor,Hard,7,5,"Alami K.","Manta L.",35,107,0
"Australian Open",Outdoor,Hard,7,5,"Arazi H.","Alonso J.",41,111,0
"Australian Open",Outdoor,Hard,7,5,"Behrend T.","Meligeni F.",106,28,0
"Australian Open",Outdoor,Hard,7,5,"Bjorkman J.","Stoltenberg J.",76,81,0
"Australian Open",Outdoor,Hard,7,5,"Black W.","Gambill J.M.",151,57,0
"Australian Open",Outdoor,Hard,7,5,"Clavet F.","Hrbaty D.",39,22,0
"Australian Open",Outdoor,Hard,7,5,"Clement A.","van Lottum J.",54,66,0
"Australian Open",Outdoor,Hard,7,5,"Corretja A.","Sargsian S.",30,51,0
"Australian Open",Outdoor,Hard,7,5,"Dosedel S.","Boutter J.",64,155,0
"Australian Open",Outdoor,Hard,7,5,"Dupuis A.","Rodriguez M.",98,119,0
"Australian Open",Outdoor,Hard,7,5,"El Aynaoui Y.","Parmar A.",29,257,0
"Australian Open",Outdoor,Hard,7,5,"Escude N.","Courier J.",34,36,0
"Australian Open",Outdoor,Hard,7,5,"Federer R.","Chang M.",62,38,0
"Australian Open",Outdoor,Hard,7,5,"Ferreira W.","Bastl G.",53,78,0
"Australian Open",Outdoor,Hard,7,5,"Ferrero J.C.","Draper S.",40,200,0
"Australian Open",Outdoor,Hard,7,5,"Fromberg R.","Enqvist T.",80,6,0
"Australian Open",Outdoor,Hard,7,5,"Grosjean S.","Motomura G.",26,148,0
"Australian Open",Outdoor,Hard,7,5,"Haas T.","Saulnier C.",12,171,0
"Australian Open",Outdoor,Hard,7,5,"Henman T.","Golmard J.",13,31,0
"Australian Open",Outdoor,Hard,7,5,"Hewitt L.","Goldstein P.",17,87,0
"Australian Open",Outdoor,Hard,7,5,"Hill M.","Karbacher B.",238,139,0
"Australian Open",Outdoor,Hard,7,5,"Ilie A.","Tarango J.",46,65,0
"Australian Open",Outdoor,Hard,7,5,"Ivanisevic G.","Pioline C.",70,15,0
"Australian Open",Outdoor,Hard,7,5,"Johansson T.","Kulti N.",42,121,0
"Australian Open",Outdoor,Hard,7,5,"Jonsson F.","Diaz J.",123,84,0
"Australian Open",Outdoor,Hard,7,5,"Kafelnikov Y.","Knippschild J.",2,85,0
"Australian Open",Outdoor,Hard,7,5,"Kiefer N.","Canas G.",4,74,0
"Australian Open",Outdoor,Hard,7,5,"Koubek S.","Cadart R.",43,217,0
"Australian Open",Outdoor,Hard,7,5,"Krajicek R.","Santoro F.",10,25,0
"Australian Open",Outdoor,Hard,7,5,"Kroslak J.","Lopez-Moron A.",104,117,0
"Australian Open",Outdoor,Hard,7,5,"Lapentti N.","Medvedev A.",7,32,0
"Australian Open",Outdoor,Hard,7,5,"Llodra M.","Gaudio G.",263,61,0
"Australian Open",Outdoor,Hard,7,5,"Martin T.","Black B.",9,71,0
"Australian Open",Outdoor,Hard,7,5,"Mirnyi M.","Agenor R.",67,94,0
"Australian Open",Outdoor,Hard,7,5,"Norman M.","Mamiit C.",11,97,0
"Australian Open",Outdoor,Hard,7,5,"Novak J.","Hipfl M.",37,75,0
"Australian Open",Outdoor,Hard,7,5,"Paes L.","Petrovic D.",137,201,0
"Australian Open",Outdoor,Hard,7,5,"Philippoussis M.","Okun N.",19,189,0
"Australian Open",Outdoor,Hard,7,5,"Portas A.","Kuerten G.",91,5,0
"Australian Open",Outdoor,Hard,7,5,"Pozzi G.","Zib T.",82,118,0
"Australian Open",Outdoor,Hard,7,5,"Pretzsch A.","O'Brien A.",115,162,0
"Australian Open",Outdoor,Hard,7,5,"Rochus C.","Costa A.",120,20,0
"Australian Open",Outdoor,Hard,7,5,"Rosset M.","Delgado J.",45,143,0
"Australian Open",Outdoor,Hard,7,5,"Sampras P.","Arthurs W.",3,105,0
"Australian Open",Outdoor,Hard,7,5,"Schalken S.","Blanco G.",47,77,0
"Australian Open",Outdoor,Hard,7,5,"Schuettler R.","Marin J.A.",60,73,0
"Australian Open",Outdoor,Hard,7,5,"Sekulov J.","Ljubicic I.",133,72,0
"Australian Open",Outdoor,Hard,7,5,"Sluiter R.","Gaudenzi A.",166,88,0
"Australian Open",Outdoor,Hard,7,5,"Squillari F.","Sirianni J.",48,356,0
"Australian Open",Outdoor,Hard,7,5,"Srichaphan P.","Kucera K.",102,18,0
"Australian Open",Outdoor,Hard,7,5,"Stafford G.","Safin M.",472,23,0
"Australian Open",Outdoor,Hard,7,5,"Tieleman L.","Martin A.",89,52,0
"Australian Open",Outdoor,Hard,7,5,"Tillstrom M.","Lareau S.",79,103,0
"Australian Open",Outdoor,Hard,7,5,"Ullyett K.","Tabara M.",182,122,0
"Australian Open",Outdoor,Hard,7,5,"Vacek D.","Stanoytchev O.",44,109,0
"Australian Open",Outdoor,Hard,7,5,"Vanek J.","Wessels P.",153,114,0
"Australian Open",Outdoor,Hard,7,5,"Vicente F.","Berasategui A.",55,59,0
"Australian Open",Outdoor,Hard,7,5,"Vinciguerra A.","Gumy H.",99,63,0
"Australian Open",Outdoor,Hard,7,5,"Voinea A.","Spadea V.",95,21,0
"Australian Open",Outdoor,Hard,7,5,"Woodbridge T.","Siemerink J.",204,93,0
"Australian Open",Outdoor,Hard,7,5,"Woodforde M.","Sanguinetti D.",126,113,0
"Australian Open",Outdoor,Hard,7,5,"Woodruff C.","Damm M.",56,92,0
"Australian Open",Outdoor,Hard,7,5,"Zabaleta M.","Mantilla F.",33,27,0
"Australian Open",Outdoor,Hard,6,5,"Agassi A.","Schalken S.",1,47,0
"Australian Open",Outdoor,Hard,6,5,"Alami K.","Llodra M.",35,263,0
"Australian Open",Outdoor,Hard,6,5,"Arazi H.","Jonsson F.",41,123,0
"Australian Open",Outdoor,Hard,6,5,"Bjorkman J.","Vanek J.",76,153,0
"Australian Open",Outdoor,Hard,6,5,"Black W.","Rosset M.",151,45,0
"Australian Open",Outdoor,Hard,6,5,"Clavet F.","Ivanisevic G.",39,70,0
"Australian Open",Outdoor,Hard,6,5,"Clement A.","Lapentti N.",54,7,0
"Australian Open",Outdoor,Hard,6,5,"Dosedel S.","Srichaphan P.",64,102,0
"Australian Open",Outdoor,Hard,6,5,"El Aynaoui Y.","Haas T.",29,12,0
"Australian Open",Outdoor,Hard,6,5,"Escude N.","Krajicek R.",34,10,0
"Australian Open",Outdoor,Hard,6,5,"Federer R.","Kroslak J.",62,104,0
"Australian Open",Outdoor,Hard,6,5,"Ferreira W.","Johansson T.",53,42,0
"Australian Open",Outdoor,Hard,6,5,"Ferrero J.C.","Tieleman L.",40,89,0
"Australian Open",Outdoor,Hard,6,5,"Fromberg R.","Pretzsch A.",80,115,0
"Australian Open",Outdoor,Hard,6,5,"Grosjean S.","Hill M.",26,238,0
"Australian Open",Outdoor,Hard,6,5,"Henman T.","Schuettler R.",13,60,0
"Australian Open",Outdoor,Hard,6,5,"Hewitt L.","Corretja A.",17,30,0
"Australian Open",Outdoor,Hard,6,5,"Ilie A.","Novak J.",46,37,0
"Australian Open",Outdoor,Hard,6,5,"Kafelnikov Y.","Vacek D.",2,44,0
"Australian Open",Outdoor,Hard,6,5,"Kiefer N.","Behrend T.",4,106,0
