court,round,best_of,player0,player1,winner
Outdoor,6,3,46,111,player0
Outdoor,3,3,60,151,player0
Outdoor,3,3,6,138,player0
Outdoor,3,3,85,220,player0
Outdoor,3,3,84,46,player0
Outdoor,2,3,6,85,player0
Outdoor,2,3,84,60,player0
Outdoor,1,3,6,84,player0
Outdoor,7,3,73,118,player0
Outdoor,7,3,56,91,player0
Outdoor,7,3,19,145,player0
Outdoor,7,3,137,?,player0
Outdoor,7,3,68,97,player0
Outdoor,7,3,105,?,player0
Outdoor,7,3,5,349,player0
Outdoor,7,3,22,77,player0
Outdoor,7,3,78,69,player0
Outdoor,7,3,184,157,player0
Outdoor,7,3,72,?,player0
Outdoor,7,3,129,74,player0
Outdoor,7,3,120,50,player0
Outdoor,7,3,102,90,player0
Outdoor,7,3,45,101,player0
Outdoor,7,3,108,138,player0
Outdoor,6,3,56,108,player0
Outdoor,6,3,19,137,player0
Outdoor,6,3,105,68,player0
Outdoor,6,3,5,184,player0
Outdoor,6,3,22,73,player0
Outdoor,6,3,78,102,player0
Outdoor,6,3,72,120,player0
Outdoor,6,3,45,129,player0
Outdoor,3,3,19,78,player0
Outdoor,3,3,5,105,player0
Outdoor,3,3,72,22,player0
Outdoor,3,3,45,56,player0
Outdoor,2,3,19,45,player0
Outdoor,2,3,72,5,player0
Outdoor,1,3,72,19,player0
Outdoor,7,3,1,162,player0
Outdoor,7,3,64,26,player0
Outdoor,7,3,43,28,player0
Outdoor,7,3,32,236,player0
Outdoor,7,3,16,83,player0
Outdoor,7,3,48,54,player0
Outdoor,7,3,30,15,player0
Outdoor,7,3,11,21,player0
Outdoor,7,3,18,44,player0
Outdoor,7,3,8,75,player0
Outdoor,7,3,60,20,player0
Outdoor,7,3,25,27,player0
Outdoor,7,3,65,121,player0
Outdoor,7,3,7,29,player0
Outdoor,7,3,2,17,player0
Outdoor,7,3,34,51,player0
Outdoor,6,3,43,1,player0
Outdoor,6,3,32,2,player0
Outdoor,6,3,16,65,player0
Outdoor,6,3,30,25,player0
Outdoor,6,3,11,64,player0
Outdoor,6,3,18,34,player0
Outdoor,6,3,8,48,player0
Outdoor,6,3,7,60,player0
Outdoor,3,3,16,32,player0
Outdoor,3,3,30,43,player0
Outdoor,3,3,11,8,player0
Outdoor,3,3,18,7,player0
Outdoor,2,3,11,16,player0
Outdoor,2,3,18,30,player0
Outdoor,1,3,18,11,player0
Outdoor,7,3,34,1,player0
Outdoor,7,3,62,59,player0
Outdoor,7,3,40,24,player0
Outdoor,7,3,42,75,player0
Outdoor,7,3,26,38,player0
Outdoor,7,3,13,20,player0
Outdoor,7,3,53,58,player0
Outdoor,7,3,51,23,player0
Outdoor,7,3,10,48,player0
Outdoor,7,3,30,11,player0
Outdoor,7,3,46,86,player0
Outdoor,7,3,19,41,player0
